thread,path,calls,total_s,avg_s,tpe_s
"47924","[Profiler thread 47924]/taichi::lang::irpass::offload_to_executable/taichi::lang::irpass::full_simplify/taichi::lang::irpass::extract_constant",35,0.000274,7.82857e-06,0
"47924","[Profiler thread 47924]/taichi::lang::irpass::offload_to_executable/taichi::lang::irpass::full_simplify/taichi::lang::irpass::unreachable_code_elimination",35,9.19999e-05,2.62857e-06,0
"47924","[Profiler thread 47924]/taichi::lang::irpass::offload_to_executable/taichi::lang::irpass::full_simplify/taichi::lang::irpass::binary_op_simplify",35,0.000306,8.74286e-06,0
"47924","[Profiler thread 47924]/taichi::lang::irpass::offload_to_executable/taichi::lang::irpass::full_simplify/taichi::lang::irpass::binary_op_simplify/taichi::lang::irpass::replace_all_usages_with",7,1.4e-05,2e-06,0
"47924","[Profiler thread 47924]/taichi::lang::irpass::offload_to_executable/taichi::lang::irpass::full_simplify/taichi::lang::irpass::constant_fold",35,0.000489,1.39714e-05,0
"47924","[Profiler thread 47924]/taichi::lang::irpass::offload_to_executable/taichi::lang::irpass::full_simplify/taichi::lang::irpass::constant_fold/taichi::lang::irpass::replace_all_usages_with",56,6.9e-05,1.23214e-06,0
"47924","[Profiler thread 47924]/taichi::lang::irpass::offload_to_executable/taichi::lang::irpass::full_simplify/taichi::lang::irpass::die",105,0.003735,3.55714e-05,0
"47924","[Profiler thread 47924]/taichi::lang::irpass::offload_to_executable/taichi::lang::irpass::full_simplify/taichi::lang::irpass::alg_simp",35,0.000901,2.57429e-05,0
"47924","[Profiler thread 47924]/taichi::lang::irpass::offload_to_executable/taichi::lang::irpass::full_simplify/taichi::lang::irpass::alg_simp/taichi::lang::irpass::replace_all_usages_with",56,6.49999e-05,1.16071e-06,0
"47924","[Profiler thread 47924]/taichi::lang::irpass::offload_to_executable/taichi::lang::irpass::full_simplify/taichi::lang::irpass::loop_invariant_code_motion",14,0.000136,9.71428e-06,0
"47924","[Profiler thread 47924]/taichi::lang::irpass::offload_to_executable/taichi::lang::irpass::full_simplify/taichi::lang::irpass::simplify",35,0.000764,2.18286e-05,0
"47924","[Profiler thread 47924]/taichi::lang::irpass::offload_to_executable/taichi::lang::irpass::full_simplify/taichi::lang::irpass::simplify/taichi::lang::irpass::replace_all_usages_with",28,3.00001e-05,1.07143e-06,0
"47924","[Profiler thread 47924]/taichi::lang::irpass::offload_to_executable/taichi::lang::irpass::full_simplify/taichi::lang::irpass::simplify/taichi::lang::irpass::type_check",28,0.000265,9.46428e-06,0
"47924","[Profiler thread 47924]/taichi::lang::irpass::offload_to_executable/taichi::lang::irpass::full_simplify/taichi::lang::irpass::whole_kernel_cse",14,0.003717,0.0002655,0
"47924","[Profiler thread 47924]/taichi::lang::irpass::offload_to_executable/taichi::lang::irpass::full_simplify/taichi::lang::irpass::whole_kernel_cse/taichi::lang::irpass::replace_all_usages_with",77,8.80001e-05,1.14286e-06,0
"47924","[Profiler thread 47924]/taichi::lang::irpass::offload_to_executable/taichi::lang::irpass::full_simplify/taichi::lang::irpass::cfg_optimization",14,0.001756,0.000125429,0
"47924","[Profiler thread 47924]/taichi::lang::irpass::offload_to_executable/taichi::lang::irpass::full_simplify/taichi::lang::irpass::cfg_optimization/taichi::lang::ControlFlowGraph::store_to_load_forwarding",14,0.000379,2.70714e-05,0
"47924","[Profiler thread 47924]/taichi::lang::irpass::offload_to_executable/taichi::lang::irpass::full_simplify/taichi::lang::irpass::cfg_optimization/taichi::lang::ControlFlowGraph::store_to_load_forwarding/taichi::lang::ControlFlowGraph::reaching_definition_analysis",14,0.000293,2.09286e-05,0
"47924","[Profiler thread 47924]/taichi::lang::irpass::offload_to_executable/taichi::lang::irpass::full_simplify/taichi::lang::irpass::cfg_optimization/taichi::lang::ControlFlowGraph::dead_store_elimination",14,0.000541,3.86429e-05,0
"47924","[Profiler thread 47924]/taichi::lang::irpass::offload_to_executable/taichi::lang::irpass::full_simplify/taichi::lang::irpass::cfg_optimization/taichi::lang::ControlFlowGraph::dead_store_elimination/taichi::lang::ControlFlowGraph::live_variable_analysis",14,0.000235,1.67857e-05,0
"47924","[Profiler thread 47924]/taichi::lang::irpass::offload_to_executable/taichi::lang::irpass::full_simplify/taichi::lang::irpass::cfg_optimization/taichi::lang::irpass::die",14,0.000352,2.51429e-05,0
"47924","[Profiler thread 47924]/taichi::lang::irpass::offload_to_executable/taichi::lang::irpass::die",7,0.000231,3.3e-05,0
"47924","[Profiler thread 47924]/taichi::lang::irpass::offload_to_executable/taichi::lang::irpass::flag_access",7,2.3e-05,3.28572e-06,0
"47924","[Profiler thread 47924]/taichi::lang::irpass::offload_to_executable/taichi::lang::irpass::demote_operations",7,0.000481,6.87143e-05,0
"47924","[Profiler thread 47924]/taichi::lang::irpass::offload_to_executable/taichi::lang::irpass::demote_operations/taichi::lang::irpass::replace_all_usages_with",14,2.3e-05,1.64286e-06,0
"47924","[Profiler thread 47924]/taichi::lang::irpass::offload_to_executable/taichi::lang::irpass::demote_operations/taichi::lang::irpass::type_check",14,0.000214,1.52857e-05,0
"47924","[Profiler thread 47924]/taichi::lang::irpass::offload_to_executable/taichi::lang::irpass::optimize_bit_struct_stores",7,0.000362,5.17143e-05,0
"47924","[Profiler thread 47924]/taichi::lang::irpass::offload_to_executable/taichi::lang::irpass::optimize_bit_struct_stores/taichi::lang::irpass::die",7,0.000196,2.8e-05,0
"47924","[Profiler thread 47924]/taichi::lang::irpass::offload_to_executable/taichi::lang::irpass::scalarize",7,6.2e-05,8.85715e-06,0
"47924","[Profiler thread 47924]/taichi::lang::TaskCodeGenLLVM::emit_to_module",7,0.002235,0.000319286,0
"47924","[Profiler thread 47924]/taichi::lang::TaskCodeGenLLVM::emit_to_module/taichi::lang::TaichiLLVMContext::get_this_thread_runtime_module",168,6.29999e-05,3.75e-07,0
